index,Team_H,Score_H,Score_A,Team_A,Location,Season,GameIDs,Date,H_elo_Before,A_elo_Before,H_elo_After,A_elo_After,A_last_10_AVG_Against,A_last_10_AVG_Score,H_last_10_AVG_Against,H_last_10_AVG_Score,home_win
0,New South Wales Swifts,60,40,Adelaide Thunderbirds,Sydney Olympic Park Sports Centre,2011.0,0,2011-02-13,1500,1500,1513.1692845702864,1486.8307154297136,0.0,0.0,0.0,0.0,1
1,Northern Mystics,51,34,Southern Steel,Trusts Stadium,2011.0,1,2011-02-14,1500,1500,1511.7761657567469,1488.2238342432531,0.0,0.0,0.0,0.0,1
2,Central Pulse,44,54,Northern Mystics,Te Rauparaha Arena,2011.0,2,2011-02-19,1500,1511.7761657567469,1488.041223621203,1523.7349421355439,34.0,51.0,0.0,0.0,0
3,Adelaide Thunderbirds,47,65,Melbourne Vixens,ETSA Park,2011.0,3,2011-02-20,1486.8307154297136,1500,1469.357705966055,1517.4730094636586,0.0,0.0,60.0,40.0,0
4,Waikato Bay of Plenty Magic,51,36,Southern Steel,Energy Events Centre,2011.0,4,2011-02-20,1500,1488.2238342432531,1510.2915564282239,1477.9322778150292,51.0,34.0,0.0,0.0,1
5,Canterbury Tactix,48,54,West Coast Fever,CBS Canterbury Arena,2011.0,5,2011-02-21,1500,1500,1490.7514442031413,1509.2485557968587,0.0,0.0,0.0,0.0,0
6,Queensland Firebirds,51,48,New South Wales Swifts,Brisbane Convention and Exhibition Centre,2011.0,6,2011-02-21,1500,1513.1692845702864,1504.749936271499,1508.4193482987873,40.0,60.0,0.0,0.0,1
7,Northern Mystics,39,45,Waikato Bay of Plenty Magic,Trusts Stadium,2011.0,7,2011-02-24,1523.7349421355439,1510.2915564282239,1514.097337499634,1519.9291610641337,36.0,51.0,39.0,52.5,0
8,West Coast Fever,53,72,Adelaide Thunderbirds,Challenge Stadium,2011.0,8,2011-02-24,1509.2485557968587,1469.357705966055,1487.9629339234398,1490.6433278394738,62.5,43.5,48.0,54.0,0
9,Central Pulse,43,45,Southern Steel,Te Rauparaha Arena,2011.0,9,2011-02-26,1488.041223621203,1477.9322778150292,1482.0795873769932,1483.893914059239,51.0,35.0,54.0,44.0,0
10,Queensland Firebirds,64,41,Adelaide Thunderbirds,Brisbane Convention and Exhibition Centre,2011.0,10,2011-02-26,1504.749936271499,1490.6433278394738,1518.4225872979514,1476.9706768130216,59.333333333333336,53.0,48.0,51.0,1
11,New South Wales Swifts,60,40,Adelaide Thunderbirds,Sydney Olympic Park Sports Centre,2011.0,11,2011-02-27,1508.4193482987873,1476.9706768130216,1519.9026188637993,1465.4874062480096,60.5,50.0,45.5,54.0,1
12,Central Pulse,44,46,Waikato Bay of Plenty Magic,TSB Bank Arena,2011.0,12,2011-02-28,1482.0795873769932,1519.9291610641337,1476.970369473068,1525.0383789680589,37.5,48.0,49.5,43.5,0
13,West Coast Fever,38,62,Queensland Firebirds,Challenge Stadium,2011.0,13,2011-02-28,1487.9629339234398,1518.4225872979514,1467.7754239390556,1538.6100972823356,44.5,57.5,60.0,53.5,0
14,Adelaide Thunderbirds,51,41,Central Pulse,ETSA Park,2011.0,14,2011-03-05,1465.4874062480096,1476.970369473068,1474.2429075279067,1468.214868193171,48.333333333333336,43.666666666666664,60.4,48.0,1
15,Queensland Firebirds,51,36,Southern Steel,Brisbane Convention and Exhibition Centre,2011.0,15,2011-03-06,1538.6100972823356,1483.893914059239,1547.1006321544066,1475.403379187168,48.333333333333336,38.333333333333336,42.333333333333336,59.0,1
16,Northern Mystics,56,54,Melbourne Vixens,Trusts Stadium,2011.0,16,2011-03-06,1514.097337499634,1517.4730094636586,1518.0378920322153,1513.5324549310774,47.0,65.0,41.0,48.0,1
17,Canterbury Tactix,56,63,Waikato Bay of Plenty Magic,Energy Events Centre (Note 6),2011.0,17,2011-03-07,1490.7514442031413,1525.0383789680589,1481.7478906692984,1534.0419325019018,39.666666666666664,47.333333333333336,54.0,48.0,0
18,New South Wales Swifts,55,51,West Coast Fever,Sydney Olympic Park Sports Centre,2011.0,18,2011-03-07,1519.9026188637993,1467.7754239390556,1523.938977076279,1463.739065726576,60.666666666666664,48.333333333333336,43.666666666666664,56.0,1
19,Melbourne Vixens,70,39,West Coast Fever,State Netball and Hockey Centre,2011.0,19,2011-03-12,1513.5324549310774,1463.739065726576,1527.9788600171275,1449.2926606405258,59.25,49.0,51.5,59.5,1
20,Adelaide Thunderbirds,42,64,Queensland Firebirds,ETSA Park,2011.0,20,2011-03-13,1474.2429075279067,1547.1006321544066,1457.8808207204654,1563.462718961848,40.75,57.0,57.166666666666664,48.5,0
21,Waikato Bay of Plenty Magic,46,47,Northern Mystics,Mystery Creek Events Centre,2011.0,21,2011-03-13,1534.0419325019018,1518.0378920322153,1528.965396731141,1523.114427802976,44.25,50.0,43.75,51.25,0
22,Southern Steel,50,44,Central Pulse,Invercargill ILT Velodrome,2011.0,22,2011-03-14,1475.403379187168,1468.214868193171,1481.4324074704352,1462.1858399099037,49.0,43.0,49.0,37.75,1
23,New South Wales Swifts,54,45,Canterbury Tactix,Sydney Olympic Park Sports Centre,2011.0,23,2011-03-14,1523.938977076279,1481.7478906692984,1530.4403815398016,1475.2464862057757,58.5,52.0,45.5,55.75,1
24,West Coast Fever,49,70,New South Wales Swifts,Challenge Stadium,2011.0,24,2011-03-17,1449.2926606405258,1530.4403815398016,1433.9344211580808,1545.7986210222466,45.4,55.4,61.4,47.0,0
25,West Coast Fever,50,47,Southern Steel,Challenge Stadium,2011.0,25,2011-03-19,1433.9344211580808,1481.4324074704352,1439.3866648170617,1475.9801638114543,48.0,40.2,62.833333333333336,47.333333333333336,1
26,New South Wales Swifts,53,57,Queensland Firebirds,Sydney Olympic Park Sports Centre,2011.0,26,2011-03-20,1545.7986210222466,1563.462718961848,1538.6475801998797,1570.6137597842148,41.0,58.4,46.0,57.833333333333336,0
27,Central Pulse,46,43,Canterbury Tactix,Arena Manawatu,2011.0,27,2011-03-20,1462.1858399099037,1475.2464862057757,1466.9336373654219,1470.4986887502575,57.0,49.666666666666664,49.2,43.2,1
28,Waikato Bay of Plenty Magic,53,41,Melbourne Vixens,"Mystery Creek Events Centre, Hamilton",2011.0,28,2011-03-21,1528.965396731141,1527.9788600171275,1538.2814874442745,1518.662769303994,47.333333333333336,63.0,44.4,50.2,1
29,Adelaide Thunderbirds,57,55,Northern Mystics,ETSA Park,2011.0,29,2011-03-21,1457.8808207204654,1523.114427802976,1462.923467139878,1518.0717813835633,44.6,49.4,58.142857142857146,47.57142857142857,1
30,Northern Mystics,52,61,Queensland Firebirds,Trusts Stadium,2011.0,30,2011-03-26,1518.0717813835633,1570.6137597842148,1508.288434178042,1580.3971069897361,43.0,58.166666666666664,46.666666666666664,50.333333333333336,0
31,Melbourne Vixens,65,50,Canterbury Tactix,Hisense Arena,2011.0,31,2011-03-27,1518.662769303994,1470.4986887502575,1527.4134573049482,1461.7480007493034,54.25,48.0,48.75,57.5,1
32,Central Pulse,43,48,New South Wales Swifts,TSB Bank Arena,2011.0,32,2011-03-27,1466.9336373654219,1538.6475801998797,1460.3300855541825,1545.2511320111191,47.57142857142857,57.142857142857146,48.166666666666664,43.666666666666664,0
33,Southern Steel,52,48,Adelaide Thunderbirds,Invercargill ILT Velodrome,2011.0,33,2011-03-28,1475.9801638114543,1462.923467139878,1480.7878036389266,1458.1158273124058,57.75,48.75,48.333333333333336,41.333333333333336,1
34,West Coast Fever,41,42,Waikato Bay of Plenty Magic,Challenge Stadium,2011.0,34,2011-03-28,1439.3866648170617,1538.2814874442745,1435.9625806330234,1541.7055716283128,43.833333333333336,50.666666666666664,60.57142857142857,47.714285714285715,0
35,Canterbury Tactix,49,44,Southern Steel,CBS Canterbury Arena,2011.0,35,2011-03-31,1461.7480007493034,1480.7878036389266,1467.8736452975124,1474.6621590907178,48.285714285714285,42.857142857142854,56.4,48.4,1
36,Melbourne Vixens,42,52,Queensland Firebirds,State Netball and Hockey Centre,2011.0,36,2011-03-31,1527.4134573049482,1580.3971069897361,1516.9993125994395,1590.811251695245,44.285714285714285,58.57142857142857,49.0,59.0,0
37,Northern Mystics,61,48,Central Pulse,Trusts Stadium,2011.0,37,2011-04-02,1508.288434178042,1460.3300855541825,1516.2597439899919,1452.3587757422326,48.142857142857146,43.57142857142857,48.714285714285715,50.57142857142857,1
38,Melbourne Vixens,42,33,Southern Steel,Hisense Arena,2011.0,38,2011-04-03,1516.9993125994395,1474.6621590907178,1523.496403766692,1468.1650679234651,48.375,43.0,49.5,56.166666666666664,1
39,Canterbury Tactix,56,59,Adelaide Thunderbirds,CBS Canterbury Arena,2011.0,39,2011-04-03,1467.8736452975124,1458.1158273124058,1460.9832105633475,1465.0062620465708,57.111111111111114,48.666666666666664,54.333333333333336,48.5,0
40,Central Pulse,63,61,West Coast Fever,Te Rauparaha Arena,2011.0,40,2011-04-04,1452.3587757422326,1435.9625806330234,1455.9788831184107,1432.3424732568453,58.25,46.875,49.75,44.125,1
41,Queensland Firebirds,53,49,Waikato Bay of Plenty Magic,Brisbane Convention and Exhibition Centre,2011.0,41,2011-04-04,1590.811251695245,1541.7055716283128,1594.9041107273233,1537.6127125962344,43.42857142857143,49.42857142857143,44.0,57.75,1
42,Canterbury Tactix,45,58,Northern Mystics,Vector Arena,2011.0,42,2011-04-07,1460.9832105633475,1516.2597439899919,1448.7860754533704,1528.456879099969,48.625,51.875,55.0,49.57142857142857,0
43,Southern Steel,49,40,Canterbury Tactix,Edgar Centre,2011.0,43,2011-04-09,1468.1650679234651,1448.7860754533704,1475.3633154503175,1441.587827926518,55.375,49.0,47.666666666666664,41.888888888888886,1
44,Melbourne Vixens,55,53,Adelaide Thunderbirds,Hisense Arena,2011.0,44,2011-04-10,1523.496403766692,1465.0062620465708,1526.490642255889,1462.0120235573738,57.0,49.7,47.142857142857146,54.142857142857146,1
